#timestamp(s) translation_x(m) translation_y(m) translation_z(m)
1640241975.000000000 686.37 -1823.41 3179.39 
1640241975.099999905 685.73 -1823.09 3178.35 
1640241975.200000048 685.08 -1822.77 3177.33 
1640241975.299999952 684.44 -1822.45 3176.31 
1640241975.400000095 683.79 -1822.14 3175.29 
1640241975.500000000 683.14 -1821.82 3174.28 
1640241975.599999905 682.50 -1821.51 3173.27 
1640241975.700000048 681.86 -1821.20 3172.25 
1640241975.799999952 681.22 -1820.88 3171.25 
1640241975.900000095 680.59 -1820.57 3170.25 
1640241976.000000000 679.95 -1820.26 3169.24 
1640241976.099999905 679.31 -1819.95 3168.24 
1640241976.200000048 678.67 -1819.64 3167.24 
1640241976.299999952 678.03 -1819.33 3166.25 
1640241976.400000095 677.39 -1819.01 3165.25 
1640241976.500000000 676.75 -1818.71 3164.26 
1640241976.599999905 676.10 -1818.40 3163.25 
1640241976.700000048 675.46 -1818.09 3162.26 
1640241976.799999952 674.81 -1817.78 3161.27 
1640241976.900000095 674.16 -1817.48 3160.26 
1640241977.000000000 673.51 -1817.18 3159.26 
1640241977.099999905 672.86 -1816.87 3158.27 
1640241977.200000048 672.21 -1816.56 3157.30 
1640241977.299999952 671.58 -1816.26 3156.32 
1640241977.400000095 670.95 -1815.96 3155.33 
1640241977.500000000 670.31 -1815.66 3154.33 
1640241977.599999905 669.67 -1815.37 3153.32 
1640241977.700000048 669.03 -1815.07 3152.33 
1640241977.799999952 668.39 -1814.77 3151.35 
1640241977.900000095 667.76 -1814.47 3150.38 
1640241978.000000000 667.12 -1814.16 3149.40 
1640241978.099999905 666.49 -1813.86 3148.40 
1640241978.200000048 665.85 -1813.56 3147.40 
1640241978.299999952 665.22 -1813.26 3146.40 
